GRB	Time [UT]	Trigger Number	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	BAT Photon Index 90% Error (15-150 keV)	XRT RA (J2000)	XRT Dec (J2000)	XRT Time to First Observation [sec]	XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT Initial Temporal Index	XRT Spectral Index (Gamma)	XRT Column Density (NH) [10^21 cm^-2]	UVOT RA (J2000)	UVOT Dec (J2000)	UVOT 90% Error Radius [arcsec]	UVOT Time to First Observation [sec]	UVOT Magnitude	UVOT Other Filter Magnitudes	Other Observatory Detections	Redshift	Host Galaxy	Comments	References	Burst Advocate
131004A	21:41:03	573190	296.108	-2.952	1.1	1.54	2.8	0.2	3.4	0.2	1.81, PL	0.11	19:44:27.16	-02:57:31.0	69.97	n/a	0.01474704	0.006689178	-1.013	2.21436	2.62515	19:44:27.09	-02:57:30.4	0.55	75	V>20.24	U=20.72|B>21.0|UVW1>20.9|UVM2>20.8|UVW2>21.0|White=20.18	NOT, TNG (3.6m), Liverpool (2m), Magellan (6.5m), MPG (2.2m), TNG (4m), Fermi (GBM)	0.717 (Magellan: emission)|0.71 (TNG: emission)				Lea Hagen
130912A	08:34:57	570465	47.606	13.999	1.6	0.28	1.7	0.2	2.2	0.3	1.20, PL	0.20	03:10:22.21	13:59:49.3	93.90	n/a	0.019026	0.007447296	-1.202	1.57299	1.486673	n/a	n/a	n/a	98	V>20.3	B>21.6|U>21.6|UVW1>22.1|UVM2>21.8|UVW2>21.6|White>21.4	MPG/ESO (2.2m), Fermi (GBM), Palomar (60"), WHT, Konus-Wind			UVOT: no detection		Valerio D'Elia
130626A	10:51:03	559075	273.128	-9.525	1.8	0.16	0.52	0.08	0.9	0.2	-0.53, CPL	1.39	n/a	n/a	58.6	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	67	V>19.8	B>21.1|U>20.7|UVW1>20.1|White>22.0				XRT: Source previously reported has not faded significantly, it is not believe it to be the X-ray afterglow.|UVOT: no detection		Max De Pasquale
130603B	15:49:14	557310	172.222	17.063	1.0	0.18	6.3	0.3	6.4	0.3	0.82, PL	0.07	11:28:48.15	17:04:16.9	59.05	n/a	0.0398682	0.011380392	-0.3536	2.20112	2.25766	n/a	n/a	n/a	62	V>19.8	B=21.14|U=20.87|UVW1>20.6|UVM2>20.4|UVW2=20.6|White=20.81	WHT, NOT (2.5m), GTC, Magellan (6.5m), Tubitak National Observatory (1.0m), Observatorio de Sierra Nevada (1.5m), Gemini-South, VLA @ 5.8 GHz, VLT, Palomar (60"), HJT (1.5m), Konus-Wind, HST, XMM-Newton	0.356 (GTC: absorption & emission)|0.356 (Magellan: emission, host)|0.356 (Gemini-South: emission)|0.3564 (VLT: absorption & emission)	r=20.94 (WHT)			Andrea Melandri
130515A	01:21:17	555880	283.436	-54.283	1.6	0.29	1.5	0.2	1.4	0.2	0.77, PL	0.18	18:53:45.63	-54:16:44.6	75.2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	79	V>19.8	B>21.0|U>20.7|UVW1>20.7|UVM2>20.0|UVW2>20.7|White>21.7	Fermi (GBM), Konus-Wind, Suzaku			UVOT: no detection		Daniele Malesani
130313A	16:08:11	550906	236.438	-0.355	2.6	0.26	0.31	0.07	0.5	0.1	1.37, PL	0.36	15:45:38.41	-00:22:08.3	78.1	n/a	n/a	n/a	n/a	1.6	0	n/a	n/a	n/a	81	V>20.4	B>21.4|U>20.3|UVW1>20.9|UVM2>21.0|UVW2>21.5|White>22.4				UVOT: no detection		Ben Gompertz
121226A	19:09:43	544027	168.620	-30.413	2.0	1.00	1.4	0.2	1.6	0.3	1.51, PL	0.29	11:14:34.14	-30:24:23.1	100.59	n/a	0.01102507	0.004894346	-1.041	2.50163	8.91525	n/a	n/a	n/a	104	V>20.4	B>2.3|U>20.9|UVW1>20.7|UVM2>21.0|UVW2>20.2|White>21.6	GTC (10.4m), VLA @ 5.8 GHz, TNG			BAT: short-hard burst|UVOT: no detection		Hans Krimm
120804A	00:54:14	529686	233.951	-28.768	1.0	0.81	8.8	0.5	10.8	0.6	1.34, PL	0.08	15:35:47.51	-28:46:56.9	93.64	n/a	0.033590955	0.014205566	-1.103	2.05668	4.05642	n/a	n/a	n/a	96	V>20.6	B>20.9|U>21.3|UVW1>20.3|UVM2>21.3|UVW2>21.0|White>22.0	Gemini-North, EVLA @ 5.8 GHz, Konus-Wind, Chandra,  XMM-Newton		Gemini-North: likely host	UVOT: no detection		A. Lien
120630A	n/a	525451	352.300	42.495	2.7	0.6	0.61	0.14	0.7	0.2	1.04, PL	0.43	n/a	n/a	n/a	n/a	0.00009441439	0.00002781686	-1.566	1.75873	0.88000690021	n/a	n/a	n/a	150	V>19.0	B>20.0|U>20.3|UVW1>19.3|UVM2>19.0|UVW2>19.5	NOT (2.5m)			There was no initial set of GCN Notices nor a rapid-response circular because of the power outage at GSFC when this burst occurred.|UVOT: no detection
120521A	05:59:42	522578	148.692	-49.422	1.7	0.45	0.78	0.11	0.9	0.1	0.98, PL	0.22	09:54:53.91	-49:25:02.4	73.75	n/a	0.0002938089	0.00007879432	-1.687	1.84175	3.019489	n/a	n/a	n/a	77	V>19,7	B>21.9|U>21.6|UVW1>20.4|UVM2>2.6|UVW2>20.2|White>21.9				UVOT: no detection		Marg Chester
120403A	01:05:23	519211	42.458	40.489	2.3	1.25	1.0	0.2	1.1	0.2	1.64, PL	0.30	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a				Due to a Sun observing constraint, Swift cannot slew to the BAT position until 18:44 UT on 2012 June 25. 		Andy Beardmore
120305A	19:37:30	516997	47.549	28.495	1.0	0.10	2.0	0.1	2.2	0.2	1.00, PL	0.09	03:10:08.76	28:29:30.1	63.18	103	0.00002424177	0.00000381285	-2.371	3.1558	7.03297	n/a	n/a	n/a	72	V>19.7	B>20.4|U>21.2|>UVW1>20.7|UVM2>21.0|UVW2>20.4|White>21.1				UVOT: no detection		Giulia Stratta
120229A	14:35:11	516571	20.033	-35.796	1.9	0.22	0.41	0.07	0.5	0.1	1.29, PL	0.24	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a				Due to a Sun observing constraint, Swift cannot slew to the BAT position until 19:46 UT on 2012 April 17.		Vanessa Mangano
111126A	18:57:42	Ground Analysis	276.057	51.461	3	0.8	0.7	0.2	n/a	n/a	1.1, PL	0.3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a				BAT: short, hard GRB with multiple peaks		Jay Cummings
111117A	12:13:41	507901	12.702	23.021	n/a	0.47	1.40	0.18	1.35	0.20	0.65, PL	0.22	n/a	n/a	n/a	n/a	0.00191547	0.0006978276	-1.294	2.19593	2.28089	n/a	n/a	n/a	137	V>19.3	B>20.0|U>20.7|UVW1>20.4|UVM2>19.5|UVW2>21.5	NOT, Fermi (GBM), Chandra, GMG		NOT, Magellan, Gemini-South, MPI/ESO (2.2m), TNG (3.6m)	UVOT: no detection		Vanessa Mangano
111020A	06:33:49	505926	287.029	-38.031	2.1	0.40	0.65	0.10	0.9	0.2	1.37, PL	0.26	19:08:12.55	-38:00:43.8	102.0	10	0.019322952	0.010646799	-0.764	2.19702	10.9527	n/a	n/a	n/a	80	V>18.8	B>19.9|U>20.3UVW1>21.0|UVM2>21.1|UVW2>20.5|White>20.3	Chandra, XMM-Newton			UVOT: no detection		Taka Sakamoto
110420B	22:42:11	451794	320.045	-41.277	2.2	0.084	0.53	0.11	0.7	0.2	1.52, CPL	2.56	n/a	n/a	2600	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2562	V>19.9	B>20.4|U>20.0|UVW1>19.6|UVM2>19.5|UVW2>19.7|White>20.5	Fermi (GBM)			Due to an observing constraint, Swift DID not slew until T0+40.4 minutes.		Boris Sbarufatti
110112A	04:12:18	442039	329.936	26.470	2.6	0.5	0.30	0.09	0.5	0.2	2.14, PL	0.46	21:59:43.84	26:27:24.2	75.41	n/a	0.006091932	0.0028647927	-0.9671	2.16553	1.002391	n/a	n/a	n/a	80	V>19.6	B>20.3|U>20.2|UVW1>18.8|UVM2>18.9|UVW2>19.2|White>20.4	TNT, WHT			UVOT: no detection		Mike Stamatikos
101224A	05:27:13	440955	285.939	45.706	2.1	0.2	0.58	0.11	0.7	0.2	0.93, CPL	1.52	19:03:41.78	45:42:49.5	77.63	n/a	0.000018096312	0.000008292792	n/a	3.41005	1.95924	n/a	n/a	n/a	83	V>20.2	B>21.4|U>20.8|UVW1>20.8|UVM2>20.8|UVW2>20.7|White>21.9	Fermi (GBM)					Hans Krimm
